,mean_temp
10392,17.7
5440,-0.8
7316,1.4
12649,17.6
13249,11.6
7308,9.9
6648,12.6
1583,10.6
68,5.8
3251,6.0
8962,21.6
3295,8.6
4393,5.5
14464,19.9
7713,7.4
2455,16.1
1595,11.0
11571,17.6
4914,20.6
8295,11.0
4881,15.8
8511,13.4
6092,16.4
245,16.2
3017,10.0
5292,18.3
3795,22.6
4122,8.2
4004,8.8
14906,10.4
4676,6.6
4077,4.8
6434,18.7
10628,9.0
673,3.0
11688,5.9
11419,9.3
8654,16.2
14082,16.3
10668,6.6
13335,18.1
3024,8.3
13989,10.8
12608,19.9
2425,16.1
7581,10.2
12774,8.7
6388,16.6
13166,2.6
4984,16.2
11585,18.7
13078,10.3
3433,14.8
4338,14.4
8495,11.5
8810,1.6
5228,12.3
12662,15.8
2517,5.1
14102,16.2
6174,9.6
9039,15.0
2036,20.5
3065,13.0
12156,8.1
13305,14.5
3355,8.0
14670,11.3
5183,8.8
4638,16.4
1427,2.2
3881,17.6
14764,13.8
1041,5.6
8821,8.2
4501,7.9
5557,4.6
1413,4.4
114,7.4
8513,15.7
11716,1.0
13885,2.5
230,16.6
13422,14.1
6109,15.1
10662,6.5
2746,14.4
14709,8.8
7998,6.8
1520,5.4
14420,21.9
4604,22.3
214,17.0
10062,25.6
14436,19.1
7598,11.5
11024,8.6
11317,5.7
5614,12.3
2487,10.9
8323,16.8
11731,6.7
6927,8.3
2182,6.1
3886,17.9
11515,20.4
14021,18.0
11028,9.4
3477,14.8
5706,19.0
5169,6.2
9230,7.8
9927,6.4
3115,19.5
10766,16.0
6914,5.5
5369,14.4
8992,19.0
10241,7.9
6935,5.9
14951,10.0
10036,18.9
1498,2.9
10431,17.4
10296,11.0
9745,19.0
14863,17.6
11541,18.9
4176,11.2
5217,8.6
8222,22.2
6977,6.0
6234,-2.2
2055,19.2
11711,6.5
2058,22.0
9266,16.5
13974,10.3
15199,28.6
4861,11.9
5683,25.0
9659,15.4
4860,11.2
14340,10.4
8094,3.4
483,9.4
10338,14.4
10802,19.4
14437,19.4
12531,15.0
9515,6.9
4391,7.4
9125,10.0
12900,11.7
2984,0.2
11957,16.8
6425,19.0
3079,14.0
2046,16.4
13640,15.8
12117,6.8
4328,7.5
5137,8.5
7173,16.1
4128,12.2
13897,1.4
2347,17.2
15138,17.6
11427,9.5
9581,11.0
5857,6.2
9918,4.5
15273,10.2
13848,1.1
1414,6.1
499,15.8
668,6.8
10678,6.8
8631,21.6
3033,13.4
6829,16.6
9364,15.7
4695,6.0
2485,9.9
12890,11.4
11623,13.0
303,11.2
12816,7.6
12637,18.9
9253,12.8
1703,20.0
13733,22.2
13315,16.9
10400,17.4
5496,3.0
5152,9.0
6210,4.8
1042,6.0
14733,8.4
3921,15.9
2924,3.0
3206,10.5
11836,16.4
7596,9.5
6223,7.0
10875,14.4
10728,11.4
5035,7.2
5743,15.5
14038,15.6
10606,9.4
5642,17.0
13858,12.0
14127,18.6
13363,20.4
2699,12.6
3402,6.7
7856,15.4
11097,13.7
1068,6.2
7457,16.8
7109,19.8
3143,15.3
2470,15.2
11859,17.8
14617,7.7
10079,22.7
553,14.7
8538,16.0
9222,13.0
13823,5.6
11095,13.3
5746,15.9
2766,18.6
9537,10.0
3038,15.6
6345,6.7
13873,10.2
12439,0.3
11610,11.4
10939,3.6
8332,14.0
6311,6.1
3315,5.8
13372,19.2
14432,25.0
7745,8.0
4720,6.4
13258,11.3
8621,16.8
420,5.7
4667,15.0
4954,17.8
2995,3.8
13866,6.8
1496,1.4
1047,6.2
12202,19.1
8925,15.4
856,12.0
10054,20.2
15229,14.5
8391,0.4
3660,9.0
7654,4.4
4659,11.5
11734,6.4
14861,13.9
6332,8.7
11039,9.7
15261,9.0
14438,21.6
3187,15.2
8916,22.4
6133,15.4
820,7.4
1643,19.6
7559,19.2
14787,18.8
2631,7.4
107,7.2
10591,6.7
367,2.6
6983,13.2
416,6.6
2420,15.8
729,9.0
4768,1.8
3599,8.4
13826,2.8
3941,13.4
4129,12.2
9934,3.8
6508,12.2
2388,17.3
9225,10.0
3804,10.8
10989,1.1
13342,18.6
5353,14.2
14144,12.6
510,12.9
700,2.1
10068,26.3
13900,1.9
2628,3.8
5981,9.2
1277,15.9
13399,13.3
2030,20.4
5327,17.9
39,2.4
1891,10.2
12166,8.5
6682,7.2
9462,8.6
4313,12.4
3482,13.8
9810,10.0
2980,11.8
14756,14.5
