,mean_temp
4209,18.3
4098,11.1
13529,1.8
6282,2.4
12646,20.2
7306,8.3
12300,19.4
1583,10.6
68,5.8
3251,6.0
8961,24.9
3295,8.6
11525,18.2
7802,14.0
7741,8.7
2455,16.1
1595,11.0
11570,17.5
14623,8.6
8294,13.6
8169,13.4
7583,9.0
13819,9.4
245,16.2
3017,10.0
5290,18.7
4751,8.9
9535,6.2
4003,11.1
6109,15.1
12682,14.4
11662,-1.8
3781,14.2
7030,10.0
673,3.0
6532,2.1
11634,7.1
8653,15.6
7931,15.2
10667,8.4
7482,17.2
3024,8.3
12678,11.4
13003,19.7
2425,16.1
12530,11.0
12773,8.2
3753,10.1
13088,15.9
7746,9.4
11584,15.0
13135,12.4
3433,14.8
4337,12.5
4280,10.8
13637,10.0
5226,12.5
11468,13.5
2517,5.1
8248,21.8
14727,10.9
13434,10.4
2036,20.5
3065,13.0
13157,10.9
6114,10.3
3355,8.0
6831,13.0
5181,5.0
13101,12.9
1427,2.2
13310,17.1
8310,15.6
1041,5.6
14425,20.9
13906,3.0
7750,9.0
1413,4.4
114,7.4
14031,18.9
8813,2.0
13549,10.2
230,16.6
8188,14.6
15091,12.4
13661,16.6
2746,14.4
10629,6.9
5516,6.4
1520,5.4
13658,12.4
8827,5.4
214,17.0
10061,27.2
14435,19.1
7596,9.5
14631,3.8
6903,7.7
11264,11.2
2487,10.9
15323,11.1
6017,15.8
6925,3.4
2182,6.1
4303,18.5
11514,22.4
3877,17.6
11027,7.6
3477,14.8
14777,17.0
10216,-0.8
6700,6.6
7267,4.9
3115,19.5
4556,13.6
6912,4.3
8225,16.4
8991,20.3
10240,7.4
13238,10.9
11732,7.1
10035,16.5
1498,2.9
6862,9.6
10295,9.0
10938,2.6
9266,16.5
14459,25.4
8818,5.4
7653,2.2
8221,24.8
7225,13.2
8757,10.6
2055,19.2
11710,5.1
2058,22.0
3550,10.2
15046,7.7
11069,13.6
6119,14.4
5681,22.2
13844,6.1
8132,8.5
8341,9.2
8466,11.8
483,9.4
9188,0.0
12429,4.1
14436,19.1
13384,14.8
9514,4.6
11977,11.9
13165,2.3
4965,19.6
2984,0.2
11956,19.4
6423,15.7
3079,14.0
2046,16.4
5076,10.1
13638,10.6
6127,17.1
5135,8.8
7171,17.4
4127,8.0
13896,3.3
2347,17.2
8289,14.0
7018,7.9
8176,13.2
15062,8.2
12486,6.5
15272,12.1
13098,11.4
1414,6.1
499,15.8
668,6.8
7363,8.3
8630,21.4
3033,13.4
6827,15.5
7464,12.9
6388,16.6
2485,9.9
12464,6.2
13654,16.2
303,11.2
9990,14.0
3946,15.2
5872,9.5
1703,20.0
4125,7.2
6682,7.2
5639,13.8
13464,13.4
10371,18.6
6208,1.5
1042,6.0
14999,6.3
5034,8.8
2924,3.0
3206,10.5
14002,9.9
9243,11.0
8704,12.0
14267,10.2
9161,8.2
13258,11.3
12018,11.8
14037,15.6
10605,9.3
11519,18.2
13857,13.1
11153,19.4
13362,19.2
2699,12.6
3402,6.7
6569,-0.5
8423,9.8
1068,6.2
5733,16.0
4862,11.0
3143,15.3
2470,15.2
11858,15.4
14616,8.6
10078,20.9
553,14.7
8537,18.8
4982,16.8
13225,7.4
5980,10.2
11984,15.0
2766,18.6
9782,13.8
3038,15.6
11222,16.7
4122,8.2
14271,7.2
6624,6.4
5364,17.6
8331,12.8
12054,8.1
3315,5.8
13371,17.6
9609,11.3
8478,9.4
11762,8.8
11359,5.7
7899,18.9
420,5.7
11890,15.5
14769,14.8
2995,3.8
5632,14.6
1496,1.4
1047,6.2
12019,6.7
9775,14.3
856,12.0
11992,13.7
6861,8.0
8390,3.7
12560,12.4
8692,6.4
8917,19.2
9081,11.3
5852,5.7
9084,11.1
10069,24.8
15260,9.9
8051,0.6
3187,15.2
6867,12.5
14801,21.8
820,7.4
1643,19.6
8229,17.4
14949,8.3
2631,7.4
107,7.2
10569,7.6
367,2.6
12821,6.8
416,6.6
2420,15.8
729,9.0
13247,11.6
15023,7.9
12405,5.9
12406,5.5
4128,12.2
6057,27.1
13266,8.6
2388,17.3
5723,15.8
9668,20.8
4702,5.6
8642,19.4
5351,13.4
11944,15.0
510,12.9
700,2.1
10067,24.9
11396,7.9
2628,3.8
4069,10.8
1277,15.9
14571,4.7
2030,20.4
10703,12.6
39,2.4
1891,10.2
10936,2.2
11912,19.0
10374,8.4
12423,9.4
3482,13.8
9809,9.0
2980,11.8
12095,-1.0
4755,9.6
1303,14.2
381,2.4
14121,14.4
7816,11.6
346,7.5
7719,7.6
11216,17.2
9972,13.6
474,12.1
5069,5.0
6887,8.9
1878,5.3
4672,9.7
12563,10.8
322,6.2
12444,5.9
14346,8.5
7968,13.2
12014,6.8
2754,18.6
4347,6.2
6934,8.6
3894,20.4
5156,3.6
3328,4.4
971,18.8
3076,15.5
7017,8.6
4463,6.3
4549,12.8
9222,13.0
12996,20.6
12351,13.1
14448,25.6
1201,10.5
2727,16.8
12017,10.2
10594,2.4
7405,9.0
36,1.2
6323,11.6
5654,18.8
13228,6.4
6932,11.2
10728,11.4
7261,3.6
5386,10.4
10477,15.9
5504,8.0
12818,6.8
4848,9.9
8861,9.4
3090,13.4
12521,9.7
1288,17.4
3031,10.8
12078,7.7
2977,2.0
2400,17.6
10881,11.7
14842,17.1
4860,11.2
4954,17.8
1746,15.6
4328,7.5
14708,9.9
10154,15.4
6393,15.4
9942,3.5
14343,8.9
8412,4.5
11786,13.9
3405,9.0
10121,19.8
9139,7.1
12187,9.5
3375,7.2
10391,18.8
12293,19.1
2507,1.7
14860,12.3
8511,13.4
7428,14.4
210,17.8
13470,13.1
1950,12.0
4609,19.8
651,6.9
2206,-2.2
4695,6.0
2615,-0.6
1396,9.4
10645,8.6
5692,19.0
4693,8.6
1670,23.2
2320,11.6
9733,15.4
12387,1.7
7290,8.3
1952,10.0
7991,4.9
4871,9.0
2937,-0.6
11114,12.0
14814,26.4
7934,12.9
5914,9.9
12129,9.2
10381,16.2
484,8.6
5834,3.4
13502,12.6
898,12.4
1732,16.3
8009,12.4
2613,-1.0
8204,13.6
8292,15.0
11054,11.6
11010,8.2
10027,16.1
12978,18.5
2640,4.8
1250,22.0
8035,2.8
5910,4.8
2435,14.1
5202,10.8
7964,11.0
15254,14.2
13668,11.8
11353,0.3
12695,19.0
7959,12.4
5438,0.6
2303,10.2
8665,15.2
12050,7.3
8314,15.8
582,18.0
4921,17.2
10763,15.5
718,2.2
3710,5.1
10619,4.6
762,4.4
5711,18.0
1870,3.2
12868,5.9
6367,25.5
10319,7.4
7159,21.9
738,5.2
11545,17.3
12667,16.2
4863,12.2
8655,18.9
9778,12.2
5843,5.6
8634,19.2
8029,4.1
4265,14.8
13588,5.5
13230,6.6
750,4.7
3449,13.3
7524,19.8
10274,7.9
2329,15.4
9790,13.8
1839,6.9
5667,16.2
3852,20.2
1275,15.8
14627,2.9
10358,13.6
4679,8.9
10158,13.0
15017,5.6
14791,17.9
5775,11.0
15211,18.6
2264,5.1
11237,12.8
1536,9.8
10758,14.2
8447,5.6
13033,17.6
1369,12.8
740,2.7
10547,4.0
7460,13.4
1188,10.2
13766,19.8
9039,15.0
1570,5.4
11669,1.7
4077,4.8
2527,13.8
2127,8.7
6762,20.6
3487,15.2
10307,2.8
2764,17.8
11797,18.1
5999,14.6
9119,8.9
13582,6.4
6311,6.1
8703,10.7
1981,12.3
14281,2.5
4295,14.2
10861,14.2
8600,18.6
4304,18.4
2057,21.2
13990,11.5
4919,15.2
13153,4.9
7197,13.7
11730,9.8
11972,17.2
3488,18.2
15079,8.3
11482,17.3
3978,8.2
6913,3.7
11356,6.2
9483,4.3
9194,6.8
5165,5.5
1710,14.1
14516,11.8
6590,3.1
9894,-0.6
562,14.6
13068,10.5
4438,6.7
640,11.1
1669,21.4
3000,3.7
12272,15.7
13708,16.2
8171,13.3
2407,14.6
12860,10.5
3611,3.2
7852,17.6
8161,8.4
14195,7.5
10157,12.4
8740,6.7
4048,8.5
2910,4.1
2742,17.2
11993,11.6
12386,4.0
14569,4.3
10982,4.0
5381,11.8
6884,12.6
2928,1.5
3166,18.7
10937,2.0
8279,15.8
10811,20.3
180,14.1
6020,18.4
5496,3.0
11236,15.9
2218,0.8
6756,15.2
1955,8.9
1057,12.9
15034,9.4
6688,11.4
5830,9.6
12801,8.4
1399,12.4
8694,12.6
10235,10.4
5844,1.4
10764,15.8
3068,14.9
6550,4.0
9648,13.6
2234,-2.6
5081,9.0
13579,3.5
13496,8.2
1210,12.6
8959,21.6
10678,6.8
2238,-0.4
10690,5.2
10994,1.2
2948,3.4
14603,4.9
13589,8.4
5500,9.2
12825,5.4
9586,9.9
13947,12.8
3776,16.5
13450,12.1
5554,5.8
8178,15.6
1434,8.0
15322,5.8
92,3.8
11651,1.3
2300,12.8
8067,2.5
13763,19.8
3844,21.2
13627,7.5
9730,16.4
14817,18.2
11648,6.3
14523,10.3
7780,12.1
14786,18.8
12388,2.5
8241,20.2
3822,21.2
3378,6.1
9572,15.1
1084,-0.4
8953,17.0
2777,16.9
5955,9.0
428,3.6
14042,16.6
9309,19.2
6395,15.6
5040,7.0
8104,12.1
14150,17.8
2698,11.8
6839,15.0
14886,12.1
3478,16.6
6355,11.4
8534,13.8
408,6.4
9851,5.6
13607,11.4
1608,9.8
10673,4.0
14211,4.8
7738,13.9
10427,18.0
4978,15.8
5100,5.1
13979,11.1
5174,2.5
426,8.0
949,16.8
7388,8.5
11576,19.5
3597,4.8
2865,7.9
11124,17.2
10827,15.2
4359,1.8
11659,-0.7
7960,10.0
9863,6.4
6194,4.6
8620,17.9
12755,6.8
1691,23.8
7882,20.7
8027,4.7
9671,21.6
5312,15.7
1421,9.2
6545,7.6
11775,9.7
819,8.2
4843,6.4
4367,1.0
6329,9.0
4269,14.8
9698,17.4
15013,9.5
14140,13.2
9241,8.2
4467,6.5
10122,18.2
409,7.2
1285,22.4
14153,16.1
4035,5.0
4344,4.6
1941,15.1
12138,11.5
1091,2.1
6835,18.0
73,1.8
7145,17.4
13154,8.7
4447,11.2
12246,14.5
15145,17.2
7025,12.4
5372,12.7
291,13.4
6918,12.3
12776,8.7
8426,8.4
3578,15.8
11676,-4.1
5659,17.2
6011,14.0
2089,14.9
11747,4.2
1801,3.0
14071,17.1
12593,13.9
1576,11.6
1110,-1.7
318,4.4
8249,17.8
9432,13.0
13907,6.1
13525,5.2
1825,5.6
3146,19.2
5337,17.2
7202,17.4
3411,13.0
144,9.4
9205,11.0
4786,4.6
8369,13.4
3514,16.6
4828,10.0
14997,7.6
13313,15.3
4501,7.9
9899,7.0
7344,0.8
10654,6.0
10972,4.0
15213,19.4
8455,5.6
7502,21.0
1830,4.0
9174,8.5
85,7.2
4590,19.5
1219,7.5
12848,9.2
14404,17.5
9226,9.3
11721,7.3
8015,11.8
11697,3.5
6067,24.0
6407,17.3
9232,7.5
11603,16.9
11019,8.0
594,18.0
9563,5.2
8482,9.8
8141,7.4
8928,18.1
8974,17.4
7061,11.8
9210,11.0
14876,17.9
14388,14.9
8943,19.0
61,11.0
14812,22.1
10513,15.0
3570,9.4
5412,9.8
10934,3.3
12270,17.0
4028,10.5
14223,1.3
12134,11.9
3728,5.6
12669,13.3
9317,15.3
7220,10.7
13199,5.8
15225,16.0
6281,1.6
12344,14.6
11670,2.8
4738,11.6
532,15.7
958,16.8
472,14.0
7281,6.4
7488,21.0
1513,0.4
2290,8.4
4974,14.7
6259,-0.2
6714,12.2
15228,14.7
1479,3.6
15247,17.1
5151,6.6
2899,7.4
14225,2.3
9674,19.2
10241,7.9
9301,13.3
14339,7.7
10346,14.4
10528,11.3
4509,8.8
5120,6.6
9416,12.3
9803,15.4
10399,16.9
9403,14.6
491,8.2
10328,13.2
12929,11.3
6105,16.8
7844,16.2
8018,7.4
8318,12.4
127,11.2
8485,9.6
10873,12.4
6108,15.1
4339,10.2
3724,8.7
1264,15.4
7975,9.3
13982,10.6
11883,18.8
8256,14.8
13732,19.6
7949,10.2
7136,17.7
10168,5.7
10561,8.8
